From,Destination,Service Class,Via Place,Time,Slot Label,District,State,Population_Millions,Urbanisation Level,Region_Type,Interstate_Flag,Start,End,Urban_Level_Num,Interstate_Flag_Num
Mangaluru,Adyar Padavu,Limited,Padil,07:20:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:20:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:24:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",07:25:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Bokkapatna,Ordinary,Thokkottu,07:25:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:27:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:30:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Savadatti Yallamma,Express,Kumta,07:30:00,6 AM - 10 AM,Belagavi,Karnataka,5.44,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Subramanya,Limited,Uppinangadi,07:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Kundapura,Mysuru,Express,Madikeri,07:30:00,6 AM - 10 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:33:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:36:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:39:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:42:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Davanagere,Express,"BC Road, Belthangadi",07:45:00,6 AM - 10 AM,Davanagere,Karnataka,2.22,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:45:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Bagalakote,Express,Kumta,07:45:00,6 AM - 10 AM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,06:00:00,10:00:00,3,0
Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,07:45:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:48:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:51:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:54:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Mudipu,Limited,Thokkottu,08:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Hubballi,Express,Kumta,08:00:00,6 AM - 10 AM,Dharwad,Karnataka,2.1,Moderate,Semi Urban,No,06:00:00,10:00:00,3,0
Mangaluru,Bengaluru,Multi Axle,Sakleshpura,08:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Subramanya,Limited,Uppinangadi,08:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Udupi,Mysuru,Express,Madikeri,08:00:00,6 AM - 10 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Kundapura,Bengaluru,Express,Sakleshpura,08:15:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Mysuru,Express,Madikeri,08:15:00,6 AM - 10 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Davanagere,Express,"BC Road, Belthangadi",08:30:00,6 AM - 10 AM,Davanagere,Karnataka,2.22,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Mudipu,Limited,Thokkottu,08:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Puttur,Panaji,Express,"Kumta, Karwar",08:30:00,6 AM - 10 AM,North Goa,Goa,0.85,Very Low,Top Rural,Yes,06:00:00,10:00:00,0,1
Mangaluru,Subramanya,Limited,Uppinangadi,08:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Mysuru,Express,Madikeri,08:30:00,6 AM - 10 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Bengaluru,Multi Axle,Mysuru,08:30:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",08:45:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Hubballi,Express,Kumta,08:45:00,6 AM - 10 AM,Dharwad,Karnataka,2.1,Moderate,Semi Urban,No,06:00:00,10:00:00,3,0
Mangaluru,Bengaluru,Express,Sakleshpura,09:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Chikkamagaluru,Express,"BC Road, Belthangadi",09:00:00,6 AM - 10 AM,Chikmagalur,Karnataka,1.3,Low,Mid Rural,No,06:00:00,10:00:00,1,0
Mangaluru,Mudipu,Limited,Thokkottu,09:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Belagavi,Express,Karwar,09:00:00,6 AM - 10 AM,Belagavi,Karnataka,5.44,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Bengaluru,Multi Axle,Sakleshpura,09:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Subramanya,Limited,Uppinangadi,09:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Bengaluru,Express,Mysuru,09:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Vitla,Ordinary,Farangipete,09:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",09:10:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",09:15:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Bengaluru,Express,Sakleshpura,09:15:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Mudipu,Limited,Thokkottu,09:20:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Davanagere,Express,"BC Road, Belthangadi",09:30:00,6 AM - 10 AM,Davanagere,Karnataka,2.22,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Rehamathnagar,Limited,Thokkottu,09:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Adyar Padavu,Limited,Padil,09:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Puttur,Hubballi,Express,Kumta,09:30:00,6 AM - 10 AM,Dharwad,Karnataka,2.1,Moderate,Semi Urban,No,06:00:00,10:00:00,3,0
Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,09:30:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Subramanya,Limited,Uppinangadi,09:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Udupi,Chamarajanagar,Express,Madikeri,09:30:00,6 AM - 10 AM,Chamarajanagar,Karnataka,1.16,Very Low,Top Rural,No,06:00:00,10:00:00,0,0
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",09:35:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Parapu,Limited,Thokkottu,09:40:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Hubballi,Express,Kumta,09:45:00,6 AM - 10 AM,Dharwad,Karnataka,2.1,Moderate,Semi Urban,No,06:00:00,10:00:00,3,0
Mangaluru,Bengaluru,Express,Sakleshpura,09:45:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
