From,Destination,Service Class,Via Place,Time,Slot Label,District,State,Population_Millions,Urbanisation Level,Region_Type,Interstate_Flag,Start,End,Urban_Level_Num,Interstate_Flag_Num,Time_Score,Crowd_Risk_Score,Crowd_Risk_Level
Mysuru,Udupi,Rajahamsa,Udupi,05:15:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Mangaluru,Bagalakote,Express,Kumta,05:15:00,2 AM - 6 AM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,02:00:00,06:00:00,3,0,1,1.5450000000000002,Low
Bengaluru,Manipal,Non Ac Sleeper,Udupi,05:20:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Mysuru,Udupi,Non Ac Sleeper,Udupi,05:25:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Mangaluru,Davanagere,Express,"BC Road, Belthangadi",05:30:00,2 AM - 6 AM,Davanagere,Karnataka,2.22,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.7660000000000002,Medium
Mangaluru,Subramanya,Limited,Uppinangadi,05:30:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mangaluru,Mysuru,Express,Madikeri,05:30:00,2 AM - 6 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,02:00:00,06:00:00,5,0,1,2.3259999999999996,High
Mangaluru,Yenepoya,Express,Thokkottu,05:30:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:40:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mangaluru,Puttur ,Express,B.C.Road,05:40:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Bengaluru,Kundapura,Multi Axle,Udupi,05:45:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Bengaluru,Udupi,Non Ac Sleeper,Udupi,05:45:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Bengaluru,Kundapura,Multi Axle,Udupi,05:45:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Bengaluru,Kundapura,Dream class,Udupi,05:45:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Mangaluru,Bengaluru,Express,Sakleshpura,05:45:00,2 AM - 6 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,02:00:00,06:00:00,5,0,1,4.588,Very High
Mangaluru,Puttur,Express,B.C.Road,05:50:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",05:55:00,2 AM - 6 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,02:00:00,06:00:00,1,1,1,1.108,Very Low
Mangaluru,Mudipu,Limited,Thokkottu,06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kanhangad,Express,"Thokkottu, Kumble",06:00:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1,3,1.708,Medium
Bengaluru,Kundapura,Rajahamsa,Udupi,06:00:00,6 AM - 10 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,06:00:00,10:00:00,1,0,3,1.502,Low
Bengaluru,Kundapura,Dream class,Udupi,06:00:00,6 AM - 10 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,06:00:00,10:00:00,1,0,3,1.502,Low
Bengaluru,Manipal,Multi Axle,Udupi,06:00:00,6 AM - 10 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,06:00:00,10:00:00,1,0,3,1.502,Low
Mangaluru,Bengaluru,Volvo,Sakleshpura,06:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0,3,5.188000000000001,Very High
Mangaluru,Subramanya,Limited,Uppinangadi,06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0,3,2.4139999999999997,High
Mysuru,Bengaluru,Express,Madikeri,06:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0,3,5.188000000000001,Very High
Mangaluru,Yenepoya,Limited,Thokkottu,06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Yenepoya,Limited,Thokkottu,06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0,3,2.4139999999999997,High
