"Sl.No",From,Destination,Service Class,Via Place,Time,Slot Label
69,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:52:00,6 AM - 10 AM
70,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:56:00,6 AM - 10 AM
71,Mangaluru,Valiyullahi Dargha Shareef Jardgaudde Ammembala,Limited,Thokkottu,07:00:00,6 AM - 10 AM
72,Mangaluru,Polali,Limited,Nanthur,07:00:00,6 AM - 10 AM
73,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:00:00,6 AM - 10 AM
74,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,07:00:00,6 AM - 10 AM
75,Mangaluru,Bengaluru,Express,Sakleshpura,07:00:00,6 AM - 10 AM
76,Mangaluru,Subramanya,Limited,Uppinangadi,07:00:00,6 AM - 10 AM
77,Mangaluru,Mysuru,Express,Madikeri,07:00:00,6 AM - 10 AM
78,Mangaluru,Mermajalu,Ordinary,Farangipete,07:00:00,6 AM - 10 AM
79,Mangaluru,Farangipete,Ordinary,Farangipete,07:00:00,6 AM - 10 AM
80,Mangaluru,Yenepoya,Non Ac Sleeper,Thokkottu,07:00:00,6 AM - 10 AM
81,Mangaluru,Yenepoya,Express,Thokkottu,07:00:00,6 AM - 10 AM
82,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:04:00,6 AM - 10 AM
83,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:08:00,6 AM - 10 AM
84,Mangaluru,Rehamathnagar,Limited,Thokkottu,07:10:00,6 AM - 10 AM
85,Mangaluru,Kadegoli,Ordinary,Farangipete,07:10:00,6 AM - 10 AM
86,Mangaluru,Yenepoya,Express,Thokkottu,07:10:00,6 AM - 10 AM
87,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:12:00,6 AM - 10 AM
88,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",07:15:00,6 AM - 10 AM
89,Mangaluru,Davanagere,Express,"BC Road, Belthangadi",07:15:00,6 AM - 10 AM
90,Mangaluru,Mudipu,Limited,Thokkottu,07:15:00,6 AM - 10 AM
91,Mangaluru,Haveri,Express,Kumta,07:15:00,6 AM - 10 AM
92,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:16:00,6 AM - 10 AM
93,Mangaluru,Adyar Padavu,Limited,Padil,07:20:00,6 AM - 10 AM
94,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:20:00,6 AM - 10 AM
95,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:24:00,6 AM - 10 AM
96,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",07:25:00,6 AM - 10 AM
97,Mangaluru,Bokkapatna,Ordinary,Thokkottu,07:25:00,6 AM - 10 AM
98,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:27:00,6 AM - 10 AM
99,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:30:00,6 AM - 10 AM
100,Mangaluru,Savadatti Yallamma,Express,Kumta,07:30:00,6 AM - 10 AM
101,Mangaluru,Subramanya,Limited,Uppinangadi,07:30:00,6 AM - 10 AM
102,Kundapura,Mysuru,Express,Madikeri,07:30:00,6 AM - 10 AM
103,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:33:00,6 AM - 10 AM
104,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:36:00,6 AM - 10 AM
105,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:39:00,6 AM - 10 AM
106,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:42:00,6 AM - 10 AM
107,Mangaluru,Davanagere,Express,"BC Road, Belthangadi",07:45:00,6 AM - 10 AM
108,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:45:00,6 AM - 10 AM
109,Mangaluru,Bagalakote,Express,Kumta,07:45:00,6 AM - 10 AM
110,Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,07:45:00,6 AM - 10 AM
111,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:48:00,6 AM - 10 AM
112,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:51:00,6 AM - 10 AM
113,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:54:00,6 AM - 10 AM
114,Mangaluru,Mudipu,Limited,Thokkottu,08:00:00,6 AM - 10 AM
115,Mangaluru,Hubballi,Express,Kumta,08:00:00,6 AM - 10 AM
116,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,08:00:00,6 AM - 10 AM
117,Mangaluru,Subramanya,Limited,Uppinangadi,08:00:00,6 AM - 10 AM
118,Udupi,Mysuru,Express,Madikeri,08:00:00,6 AM - 10 AM
119,Kundapura,Bengaluru,Express,Sakleshpura,08:15:00,6 AM - 10 AM
120,Mangaluru,Mysuru,Express,Madikeri,08:15:00,6 AM - 10 AM
121,Mangaluru,Davanagere,Express,"BC Road, Belthangadi",08:30:00,6 AM - 10 AM
122,Mangaluru,Mudipu,Limited,Thokkottu,08:30:00,6 AM - 10 AM
123,Puttur,Panaji,Express,"Kumta, Karwar",08:30:00,6 AM - 10 AM
124,Mangaluru,Subramanya,Limited,Uppinangadi,08:30:00,6 AM - 10 AM
125,Mangaluru,Mysuru,Express,Madikeri,08:30:00,6 AM - 10 AM
126,Mangaluru,Bengaluru,Multi Axle,Mysuru,08:30:00,6 AM - 10 AM
127,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",08:45:00,6 AM - 10 AM
128,Mangaluru,Hubballi,Express,Kumta,08:45:00,6 AM - 10 AM
129,Mangaluru,Bengaluru,Express,Sakleshpura,09:00:00,6 AM - 10 AM
130,Mangaluru,Chikkamagaluru,Express,"BC Road, Belthangadi",09:00:00,6 AM - 10 AM
131,Mangaluru,Mudipu,Limited,Thokkottu,09:00:00,6 AM - 10 AM
132,Mangaluru,Belagavi,Express,Karwar,09:00:00,6 AM - 10 AM
133,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,09:00:00,6 AM - 10 AM
134,Mangaluru,Subramanya,Limited,Uppinangadi,09:00:00,6 AM - 10 AM
135,Mangaluru,Bengaluru,Express,Mysuru,09:00:00,6 AM - 10 AM
136,Mangaluru,Vitla,Ordinary,Farangipete,09:00:00,6 AM - 10 AM
137,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",09:10:00,6 AM - 10 AM
138,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",09:15:00,6 AM - 10 AM
139,Mangaluru,Bengaluru,Express,Sakleshpura,09:15:00,6 AM - 10 AM
140,Mangaluru,Mudipu,Limited,Thokkottu,09:20:00,6 AM - 10 AM
141,Mangaluru,Davanagere,Express,"BC Road, Belthangadi",09:30:00,6 AM - 10 AM
142,Mangaluru,Rehamathnagar,Limited,Thokkottu,09:30:00,6 AM - 10 AM
143,Mangaluru,Adyar Padavu,Limited,Padil,09:30:00,6 AM - 10 AM
144,Puttur,Hubballi,Express,Kumta,09:30:00,6 AM - 10 AM
145,Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,09:30:00,6 AM - 10 AM
146,Mangaluru,Subramanya,Limited,Uppinangadi,09:30:00,6 AM - 10 AM
147,Udupi,Chamarajanagar,Express,Madikeri,09:30:00,6 AM - 10 AM
148,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",09:35:00,6 AM - 10 AM
149,Mangaluru,Parapu,Limited,Thokkottu,09:40:00,6 AM - 10 AM
150,Mangaluru,Hubballi,Express,Kumta,09:45:00,6 AM - 10 AM
151,Mangaluru,Bengaluru,Express,Sakleshpura,09:45:00,6 AM - 10 AM
152,Mangaluru,Bengaluru,Express,Mysuru,09:45:00,6 AM - 10 AM
153,Mangaluru,Kateelu,Limited,Surathkal,09:47:00,6 AM - 10 AM
154,Mangaluru,Mudipu,Limited,Thokkottu,09:50:00,6 AM - 10 AM
155,Mangaluru,Vitla,Ordinary,Farangipete,09:50:00,6 AM - 10 AM
