"Sl.No",From,Destination,Service Class,Via Place,Time,Slot Label
301,Mangaluru,Rehamathnagar,Limited,Thokkottu,14:25:00,2 PM - 6 PM
302,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:27:00,2 PM - 6 PM
303,Mangaluru,Hosadurga,Express,"BC Road, Belthangadi",14:30:00,2 PM - 6 PM
304,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:30:00,2 PM - 6 PM
305,Mangaluru,Kalaburagi,Express,Kumta,14:30:00,2 PM - 6 PM
306,Mangaluru,Bengaluru,Express,Sakleshpura,14:30:00,2 PM - 6 PM
307,Mangaluru,Subramanya,Limited,Uppinangadi,14:30:00,2 PM - 6 PM
308,Mangaluru,Madikeri,Express,Puttur,14:30:00,2 PM - 6 PM
309,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:33:00,2 PM - 6 PM
310,Mangaluru,Mudipu,Limited,Thokkottu,14:35:00,2 PM - 6 PM
311,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:36:00,2 PM - 6 PM
312,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:39:00,2 PM - 6 PM
313,Mangaluru,Kumta,Express,Kumta,14:40:00,2 PM - 6 PM
314,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:42:00,2 PM - 6 PM
315,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",14:45:00,2 PM - 6 PM
316,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:45:00,2 PM - 6 PM
317,Mangaluru,Hassan,Express,Sakleshpura,14:45:00,2 PM - 6 PM
318,Mangaluru,Shishila,Ordinary,Uppinangadi,14:45:00,2 PM - 6 PM
319,Mangaluru,Puttur,Express,B.C.Road,14:45:00,2 PM - 6 PM
320,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:48:00,2 PM - 6 PM
321,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:51:00,2 PM - 6 PM
322,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:54:00,2 PM - 6 PM
323,Mangaluru,Valiyullahi Dargha Shareef Jardgaudde Ammembala,Limited,Thokkottu,14:55:00,2 PM - 6 PM
324,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:57:00,2 PM - 6 PM
325,Mangaluru,Kayarthadka,Limited,"BC Road, Belthangadi",15:00:00,2 PM - 6 PM
326,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",15:00:00,2 PM - 6 PM
327,Mangaluru,Kadur,Express,"BC Road, Belthangadi",15:00:00,2 PM - 6 PM
328,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:00:00,2 PM - 6 PM
329,Mangaluru,Hyderabad,Dream class,Kumta,15:00:00,2 PM - 6 PM
330,Bengaluru,Kundapura,Express,Udupi,15:00:00,2 PM - 6 PM
331,Mangaluru,Subramanya,Limited,Uppinangadi,15:00:00,2 PM - 6 PM
332,Mangaluru,Madurai,Express,Mysuru,15:00:00,2 PM - 6 PM
333,Mangaluru,B.C.Road,Ordinary,Farangipete,15:00:00,2 PM - 6 PM
334,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:03:00,2 PM - 6 PM
335,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,15:03:00,2 PM - 6 PM
336,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:06:00,2 PM - 6 PM
337,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:09:00,2 PM - 6 PM
338,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:12:00,2 PM - 6 PM
339,Mangaluru,Mudipu,Limited,Thokkottu,15:15:00,2 PM - 6 PM
340,Mangaluru,Adyar padavu,Limited,Padil,15:15:00,2 PM - 6 PM
341,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:15:00,2 PM - 6 PM
342,Mangaluru,Sindagi,Express,Kumta,15:15:00,2 PM - 6 PM
343,Mangaluru,Sirsi,Volvo,Kumta,15:15:00,2 PM - 6 PM
344,Mangaluru,Bengaluru,Express,Sakleshpura,15:15:00,2 PM - 6 PM
345,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:18:00,2 PM - 6 PM
346,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:21:00,2 PM - 6 PM
347,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:24:00,2 PM - 6 PM
348,Mangaluru,Somwarpet,Express,Madikeri,15:25:00,2 PM - 6 PM
349,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:27:00,2 PM - 6 PM
350,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",15:30:00,2 PM - 6 PM
351,Mangaluru,Chikkamagaluru,Express,"BC Road, Belthangadi",15:30:00,2 PM - 6 PM
352,Mangaluru,Gramachavadi,Limited,Thokkottu,15:30:00,2 PM - 6 PM
353,Mangaluru,Talikoti,Express,Kumta,15:30:00,2 PM - 6 PM
354,Mysuru,Kundapura,Express,Udupi,15:30:00,2 PM - 6 PM
355,Mangaluru,Subramanya,Limited,Uppinangadi,15:30:00,2 PM - 6 PM
356,Mangaluru,Mantralayam,Non Ac Sleeper,Udupi,15:30:00,2 PM - 6 PM
357,Mangaluru,Coimbatore,Volvo,Mysuru,15:30:00,2 PM - 6 PM
358,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:31:00,2 PM - 6 PM
359,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:35:00,2 PM - 6 PM
360,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:39:00,2 PM - 6 PM
361,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:43:00,2 PM - 6 PM
362,Mysuru,Kundapura,Rajahamsa,Udupi,15:45:00,2 PM - 6 PM
363,Mysuru,Kundapura,Rajahamsa,Udupi,15:45:00,2 PM - 6 PM
364,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:47:00,2 PM - 6 PM
365,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:51:00,2 PM - 6 PM
366,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:55:00,2 PM - 6 PM
367,Mangaluru,Kadur,Express,"BC Road, Belthangadi",16:00:00,2 PM - 6 PM
368,Mangaluru,Hanmanhal,Express,Kumta,16:00:00,2 PM - 6 PM
369,Mangaluru,Pune,Ambari utsav,Kumta,16:00:00,2 PM - 6 PM
370,Mysore,Udupi,Express,Mangaluru,16:00:00,2 PM - 6 PM
371,Mangaluru,Hassan,Express,Sakleshpura,16:00:00,2 PM - 6 PM
372,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,16:00:00,2 PM - 6 PM
373,Gokarna,Subramanya,Express,Uppinangadi,16:00:00,2 PM - 6 PM
374,Mangaluru,Raichur,Rajahamsa,Udupi,16:00:00,2 PM - 6 PM
375,Mangaluru,Mysuru,Express,Madikeri,16:00:00,2 PM - 6 PM
376,Mangaluru,B.C.Road,Ordinary,Farangipete,16:00:00,2 PM - 6 PM
377,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",16:00:00,2 PM - 6 PM
378,Mangaluru,B.C.Road,Ordinary,Farangipete,16:05:00,2 PM - 6 PM
379,Mangaluru,Mudipu,Limited,Thokkottu,16:10:00,2 PM - 6 PM
380,Mangaluru,Karwar,Volvo,Kumta,16:15:00,2 PM - 6 PM
381,Mangaluru,Karadi,Express,Kumta,16:15:00,2 PM - 6 PM
382,Mangaluru,Kundapura,Rajahamsa,Udupi,16:15:00,2 PM - 6 PM
383,Mangaluru,B.C.Road,Ordinary,Farangipete,16:15:00,2 PM - 6 PM
384,Mangaluru,Phajeer,Ordinary,Farangipete,16:15:00,2 PM - 6 PM
385,Mangaluru,Mudipu,Limited,Thokkottu,16:20:00,2 PM - 6 PM
386,Mangaluru,Mudigere,Express,"BC Road, Belthangadi",16:30:00,2 PM - 6 PM
387,Mangaluru,Parapu,Limited,Thokkottu,16:30:00,2 PM - 6 PM
388,Mangaluru,Kushtagi,Express,Kumta,16:30:00,2 PM - 6 PM
389,Bengaluru,Kundapura,Multi Axle,Udupi,16:30:00,2 PM - 6 PM
390,Mangaluru,Bengaluru,Express,Sakleshpura,16:30:00,2 PM - 6 PM
391,Mangaluru,Subramanya,Limited,Uppinangadi,16:30:00,2 PM - 6 PM
392,Mangaluru,B.C.Road,Ordinary,Farangipete,16:30:00,2 PM - 6 PM
393,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",16:30:00,2 PM - 6 PM
394,Mangaluru,Kateelu,Limited,Surathkal,16:35:00,2 PM - 6 PM
395,Panaji,Puttur,Express,B.C.Road,16:35:00,2 PM - 6 PM
396,Mangaluru,Mudipu,Limited,Thokkottu,16:40:00,2 PM - 6 PM
397,Mysuru,Udupi,Express,Mangaluru,16:40:00,2 PM - 6 PM
398,Mangaluru,Muddebihal,Express,Kumta,16:45:00,2 PM - 6 PM
399,Mangaluru,Rehamathnagar,Limited,Thokkottu,16:50:00,2 PM - 6 PM
400,Mangaluru,Mudipu,Limited,Thokkottu,17:00:00,2 PM - 6 PM
401,Mangaluru,Polali,Limited,Nanthur,17:00:00,2 PM - 6 PM
402,Mangaluru,Guledagudda,Express,Kumta,17:00:00,2 PM - 6 PM
403,Mysuru,Kundapura,Express,Udupi,17:00:00,2 PM - 6 PM
404,Mangaluru,Kallugudde,Limited,Uppinangadi,17:00:00,2 PM - 6 PM
405,Mangaluru,Raichur,Non Ac Sleeper,Udupi,17:00:00,2 PM - 6 PM
406,Mangaluru,Kolar,Express,Mysuru,17:00:00,2 PM - 6 PM
407,Mangaluru,B.C.Road,Ordinary,Farangipete,17:00:00,2 PM - 6 PM
408,Mangaluru,Mermajalu,Ordinary,Farangipete,17:00:00,2 PM - 6 PM
409,Mangaluru,Ballari,Express,"BC Road, Belthangadi",17:15:00,2 PM - 6 PM
410,Mangaluru,Tawargera,Express,Kumta,17:15:00,2 PM - 6 PM
411,Mangaluru,Bengaluru,Express,Sakleshpura,17:15:00,2 PM - 6 PM
412,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",17:15:00,2 PM - 6 PM
413,Mangaluru,Bagalakote,Express,Kumta,17:20:00,2 PM - 6 PM
414,Mangaluru,Kundapura,Express,Udupi,17:20:00,2 PM - 6 PM
415,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",17:30:00,2 PM - 6 PM
416,Mangaluru,Adyar padavu,Limited,Thokkottu,17:30:00,2 PM - 6 PM
417,Mangaluru,Jamakhandi,Rajahamsa,Kumta,17:30:00,2 PM - 6 PM
418,Karwar,Subramanya,Express,Uppinangadi,17:30:00,2 PM - 6 PM
419,Mangaluru,Harappanahalli,Express,Udupi,17:30:00,2 PM - 6 PM
420,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",17:45:00,2 PM - 6 PM
421,Mangaluru,Kudala Sangama,Express,Kumta,17:45:00,2 PM - 6 PM
422,Hubballi,Puttur,Express,Mysuru,17:45:00,2 PM - 6 PM
423,Mangaluru,Mudipu,Limited,Thokkottu,17:55:00,2 PM - 6 PM
424,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:00:00,6 PM - 10 PM
425,Mangaluru,Ilkal,Express,Kumta,18:00:00,6 PM - 10 PM
426,Mangaluru,Bengaluru,Express,Sakleshpura,18:00:00,6 PM - 10 PM
427,Mangaluru,Mantralayam,Volvo,Udupi,18:00:00,6 PM - 10 PM
428,Mangaluru,B.C.Road,Ordinary,Farangipete,18:00:00,6 PM - 10 PM
429,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",18:00:00,6 PM - 10 PM
430,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:05:00,6 PM - 10 PM
431,Mangaluru,Dotihal,Express,Kumta,18:05:00,6 PM - 10 PM
432,Bengaluru,Udupi,Express,Udupi,18:05:00,6 PM - 10 PM
433,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:10:00,6 PM - 10 PM
434,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:15:00,6 PM - 10 PM
435,Mangaluru,Dammur,Express,Kumta,18:15:00,6 PM - 10 PM
436,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:20:00,6 PM - 10 PM
437,Mangaluru,Charmadi,Limited,"BC Road, Belthangadi",18:25:00,6 PM - 10 PM
438,Mangaluru,Mudipu,Limited,Thokkottu,18:25:00,6 PM - 10 PM
439,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:25:00,6 PM - 10 PM
440,Mangaluru,B.C.Road,Ordinary,Farangipete,18:25:00,6 PM - 10 PM
441,Mangaluru,Hosapete,Express,"BC Road, Belthangadi",18:30:00,6 PM - 10 PM
442,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:30:00,6 PM - 10 PM
443,Mangaluru,Bagalakote,Express,Kumta,18:30:00,6 PM - 10 PM
444,Mangaluru,Subramanya,Limited,Uppinangadi,18:30:00,6 PM - 10 PM
445,Mangaluru,Bengaluru,Express,Mysuru,18:30:00,6 PM - 10 PM
446,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:35:00,6 PM - 10 PM
447,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:40:00,6 PM - 10 PM
448,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:45:00,6 PM - 10 PM
449,Mangaluru,Gadag,Express,Kumta,18:45:00,6 PM - 10 PM
450,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:50:00,6 PM - 10 PM
451,Mangaluru,Ganjihal,Express,Kumta,18:50:00,6 PM - 10 PM
452,Mangaluru,Mudipu,Limited,Thokkottu,18:55:00,6 PM - 10 PM
453,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:55:00,6 PM - 10 PM
454,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",19:00:00,6 PM - 10 PM
455,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:00:00,6 PM - 10 PM
456,Mangaluru,Vijayapura,Non Ac Sleeper,Kumta,19:00:00,6 PM - 10 PM
457,Mangaluru,Kamatagi,Express,Kumta,19:00:00,6 PM - 10 PM
458,Mangaluru,Bengaluru,Express,Sakleshpura,19:00:00,6 PM - 10 PM
459,Mangaluru,Ballari,Non Ac Sleeper,Udupi,19:00:00,6 PM - 10 PM
460,Mangaluru,B.C.Road,Ordinary,Farangipete,19:00:00,6 PM - 10 PM
461,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:08:00,6 PM - 10 PM
462,Mangaluru,Kabbaragi,Express,Kumta,19:15:00,6 PM - 10 PM
463,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:16:00,6 PM - 10 PM
464,Mangaluru,Mudipu,Limited,Thokkottu,19:20:00,6 PM - 10 PM
465,Mangaluru,Hungund,Express,Kumta,19:20:00,6 PM - 10 PM
466,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:24:00,6 PM - 10 PM
467,Mangaluru,Bagalakote,Express,Kumta,19:30:00,6 PM - 10 PM
468,Mangaluru,Bengaluru,Express,Sakleshpura,19:30:00,6 PM - 10 PM
469,Mangaluru,Sandur,Non Ac Sleeper,Hosapete,19:30:00,6 PM - 10 PM
470,Mangaluru,Mysuru,Express,Madikeri,19:30:00,6 PM - 10 PM
471,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:32:00,6 PM - 10 PM
472,Mangaluru,"Ankalimata, Talekat",Express,Kumta,19:35:00,6 PM - 10 PM
473,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,19:35:00,6 PM - 10 PM
474,Mangaluru,Adyar padavu,Limited,Thokkottu,19:40:00,6 PM - 10 PM
475,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:40:00,6 PM - 10 PM
476,Mangaluru,Muddebihal,Express,Kumta,19:45:00,6 PM - 10 PM
477,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,19:45:00,6 PM - 10 PM
478,Mangaluru,Amingad,Express,Kumta,19:50:00,6 PM - 10 PM
479,Mangaluru,Belagavi,Non Ac Sleeper,Kumta,20:00:00,6 PM - 10 PM
480,Mangaluru,Bengaluru,Express,Sakleshpura,20:00:00,6 PM - 10 PM
481,Mangaluru,Davanagere,Non Ac Sleeper,Udupi,20:00:00,6 PM - 10 PM
482,Mangaluru,Davanagere,Express,"BC Road, Belthangadi",20:05:00,6 PM - 10 PM
483,Mangaluru,Bagalakote,Express,Kumta,20:05:00,6 PM - 10 PM
484,Mangaluru,Bengaluru,Express,Sakleshpura,20:14:00,6 PM - 10 PM
485,Mangaluru,Kushtagi,Express,Kumta,20:15:00,6 PM - 10 PM
486,Mangaluru,Challakere,Rajahamsa,Udupi,20:15:00,6 PM - 10 PM
487,Mangaluru,Bilagi,Express,Kumta,20:30:00,6 PM - 10 PM
488,Mangaluru,Ranebennur,Express,Kundapura,20:30:00,6 PM - 10 PM
489,Mangaluru,Ramdurg,Non Ac Sleeper,Kumta,20:30:00,6 PM - 10 PM
490,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,20:30:00,6 PM - 10 PM
491,Mangaluru,Bengaluru,Express,Sakleshpura,20:40:00,6 PM - 10 PM
492,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,20:43:00,6 PM - 10 PM
493,Mangaluru,Gajendragad,Express,Kumta,20:45:00,6 PM - 10 PM
494,Mangaluru,Tirupati,Multi Axle,Sakleshpura,20:51:00,6 PM - 10 PM
495,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,20:55:00,6 PM - 10 PM
496,Mangaluru,Ernakulam,Multi Axle,Kasaragod,21:00:00,6 PM - 10 PM
497,Mangaluru,Koppal,Express,Kumta,21:00:00,6 PM - 10 PM
498,Mangaluru,Bengaluru,Express,Sakleshpura,21:00:00,6 PM - 10 PM
499,Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,21:00:00,6 PM - 10 PM
500,Mangaluru,Davanagere,Express,Udupi,21:00:00,6 PM - 10 PM
501,Mangaluru,Ooty,Rajahamsa,Madikeri,21:00:00,6 PM - 10 PM
502,Mangaluru,Badami,Express,Kumta,21:15:00,6 PM - 10 PM
503,Mangaluru,Davanagere,Non Ac Sleeper,Udupi,21:15:00,6 PM - 10 PM
504,Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,21:25:00,6 PM - 10 PM
505,Mangaluru,Bengaluru,Multi Axle,Mysuru,21:28:00,6 PM - 10 PM
506,Mangaluru,Gajendragad,Express,Kumta,21:30:00,6 PM - 10 PM
507,Mangaluru,Ballari,Express,Udupi,21:30:00,6 PM - 10 PM
508,Mangaluru,Mysuru,Rajahamsa,Madikeri,21:30:00,6 PM - 10 PM
509,Mangaluru,Bengaluru Airport,Multi Axle,Sakleshpura,21:35:00,6 PM - 10 PM
510,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,21:36:00,6 PM - 10 PM
511,Mangaluru,Bengaluru,Non Ac Sleeper,Mysuru,21:44:00,6 PM - 10 PM
512,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,21:45:00,6 PM - 10 PM
513,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,21:59:00,6 PM - 10 PM
514,Mangaluru,Bengaluru,Dream class,Sakleshpura,22:00:00,10 PM - 2 AM
515,Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,22:00:00,10 PM - 2 AM
516,Mangaluru,Davanagere,Non Ac Sleeper,Udupi,22:00:00,10 PM - 2 AM
517,Mangaluru,Mysuru,Express,Madikeri,22:00:00,10 PM - 2 AM
518,Udupi,Mysuru,Express,Madikeri,22:00:00,10 PM - 2 AM
519,Mangaluru,Bengaluru,Express,Sakleshpura,22:10:00,10 PM - 2 AM
520,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,22:12:00,10 PM - 2 AM
521,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,22:15:00,10 PM - 2 AM
522,Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,22:20:00,10 PM - 2 AM
523,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,22:22:00,10 PM - 2 AM
524,Mangaluru,Yellapur,Express,Kumta,22:30:00,10 PM - 2 AM
525,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,22:30:00,10 PM - 2 AM
526,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,22:35:00,10 PM - 2 AM
527,Mangaluru,Bengaluru,Dream class,Sakleshpura,22:40:00,10 PM - 2 AM
528,Mangaluru,Bengaluru,Dream class,Sakleshpura,22:40:00,10 PM - 2 AM
529,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,22:45:00,10 PM - 2 AM
530,Mangaluru,Mysuru,Rajahamsa,Madikeri,22:45:00,10 PM - 2 AM
531,Manipal,Mysuru,Non Ac Sleeper,Madikeri,22:45:00,10 PM - 2 AM
532,Mangaluru,Laxmeshwar,Express,Kumta,23:00:00,10 PM - 2 AM
533,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,23:00:00,10 PM - 2 AM
534,Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,23:00:00,10 PM - 2 AM
535,Mangaluru,Mandya,Non Ac Sleeper,Madikeri,23:00:00,10 PM - 2 AM
536,Mangaluru,Bengaluru,Multi Axle,Mysuru,23:00:00,10 PM - 2 AM
537,Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,23:10:00,10 PM - 2 AM
538,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,23:15:00,10 PM - 2 AM
539,Mangaluru,Bengaluru,Dream class,Sakleshpura,23:15:00,10 PM - 2 AM
540,Mangaluru,Bengaluru,Dream class,Sakleshpura,23:20:00,10 PM - 2 AM
541,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,23:30:00,10 PM - 2 AM
542,Udupi,Mysuru,Multi Axle,Madikeri,23:45:00,10 PM - 2 AM
